Question,Generated Answer,Topic,BLEU Score,ROUGE Score,IndoBERT Similarity,Inference Time
Mengapa Candi Borobudur sempat menyerupai sebuah bukit?,Candi Borobudur sempat menyerupai sebuah bukit karena tersembunyi dan terlantar selama berabad-abad terkubur di bawah lapisan tanah dan debu vulkanik yang kemudian ditumbuhi pohon dan semak belukar.,Sejarah,"{'bleu': 0.5236899054489664, 'precisions': [0.7142857142857143, 0.5185185185185185, 0.46153846153846156, 0.44], 'brevity_penalty': 1.0, 'length_ratio': 1.12, 'translation_length': 28, 'reference_length': 25}","{'rouge1': np.float64(0.8076923076923077), 'rouge2': np.float64(0.6), 'rougeL': np.float64(0.6923076923076924), 'rougeLsum': np.float64(0.6923076923076924)}",0.9187073707580566,0.32076478004455566
Apakah alasan pasti ditinggalkannya Borobudur sudah diketahui?,"Maaf, saya tidak tahu secara pasti alasan ditinggalkannya Borobudur. Informasi yang ada masih belum jelas dan masih ada beberapa teori yang mungkin, tetapi tidak ada jawaban pasti yang diketahui.",Sejarah,"{'bleu': 0.0, 'precisions': [0.36363636363636365, 0.125, 0.03225806451612903, 0.0], 'brevity_penalty': 1.0, 'length_ratio': 1.736842105263158, 'translation_length': 33, 'reference_length': 19}","{'rouge1': np.float64(0.4), 'rouge2': np.float64(0.18604651162790697), 'rougeL': np.float64(0.35555555555555557), 'rougeLsum': np.float64(0.35555555555555557)}",0.8426672220230103,0.31537485122680664
Apakah perpindahan ibu kota oleh Mpu Sindok ada kaitannya dengan ditinggalkannya Borobudur?,"Tidak dapat dipastikan apakah perpindahan ibu kota oleh Mpu Sindok pada tahun 928 dan 1006 ada kaitannya dengan ditinggalkannya Borobudur. Meskipun beberapa sumber menduga bahwa perpindahan ibu kota mungkin menyebabkan Borobudur mulai ditinggalkan, namun hal ini belum dapat dipastikan secara pasti.",Sejarah,"{'bleu': 0.2031034196160459, 'precisions': [0.4090909090909091, 0.2558139534883721, 0.16666666666666666, 0.0975609756097561], 'brevity_penalty': 1.0, 'length_ratio': 1.4666666666666666, 'translation_length': 44, 'reference_length': 30}","{'rouge1': np.float64(0.49275362318840576), 'rouge2': np.float64(0.29850746268656714), 'rougeL': np.float64(0.40579710144927533), 'rougeLsum': np.float64(0.40579710144927533)}",0.8768941164016724,0.3530609607696533
Bagaimana Borobudur disebutkan dalam naskah Nagarakretagama?,"Borobudur disebutkan dalam naskah Nagarakretagama oleh Mpu Prapanca pada tahun 1365. Ia menyebutkan adanya ""Wihara di Budur"" dalam naskah tersebut.",Sejarah,"{'bleu': 0.3947225751528281, 'precisions': [0.6666666666666666, 0.5217391304347826, 0.4090909090909091, 0.23809523809523808], 'brevity_penalty': 0.9200444146293233, 'length_ratio': 0.9230769230769231, 'translation_length': 24, 'reference_length': 26}","{'rouge1': np.float64(0.5909090909090908), 'rouge2': np.float64(0.42857142857142855), 'rougeL': np.float64(0.45454545454545453), 'rougeLsum': np.float64(0.45454545454545453)}",0.9519367218017578,0.4632222652435303
Apa hubungan antara perpindahan agama penduduk sekitar dan ditinggalkannya Borobudur?,"Menurut sumber yang disebutkan, Soekmono (1976) mengajukan pendapat bahwa candi Borobudur mulai benar-benar ditinggalkan sejak penduduk sekitar beralih keyakinan kepada Islam pada abad ke-15. Artinya, perpindahan agama penduduk sekitar ke Islam mungkin menjadi salah satu faktor yang menyebabkan Borobudur ditinggalkan.",Sejarah,"{'bleu': 0.2533922732210082, 'precisions': [0.5, 0.28888888888888886, 0.20454545454545456, 0.13953488372093023], 'brevity_penalty': 1.0, 'length_ratio': 1.9166666666666667, 'translation_length': 46, 'reference_length': 24}","{'rouge1': np.float64(0.65625), 'rouge2': np.float64(0.3870967741935484), 'rougeL': np.float64(0.5625), 'rougeLsum': np.float64(0.5625)}",0.9402390718460083,0.3594818115234375
"Siapa tokoh dari wangsa Sanjaya yang memberikan izin pembangunan candi-candi Buddha, dan apa bentuk dukungannya?",Tokoh dari wangsa Sanjaya yang memberikan izin pembangunan candi-candi Buddha adalah Rakai Panangkaran. Bentuk dukungannya adalah dengan memberikan desa Kalasan kepada sangha (komunitas Buddha) untuk pemeliharaan dan pembiayaan Candi Kalasan yang dibangun untuk memuliakan Bodhisattwadewi Tara.,Sejarah,"{'bleu': 0.23303171053050656, 'precisions': [0.525, 0.28205128205128205, 0.18421052631578946, 0.10810810810810811], 'brevity_penalty': 1.0, 'length_ratio': 1.2903225806451613, 'translation_length': 40, 'reference_length': 31}","{'rouge1': np.float64(0.6363636363636365), 'rouge2': np.float64(0.40625000000000006), 'rougeL': np.float64(0.48484848484848486), 'rougeLsum': np.float64(0.48484848484848486)}",0.9330340623855591,0.4471006393432617
Apa yang menunjukkan bahwa toleransi antaragama sangat dijunjung tinggi dalam masyarakat Jawa Kuno?,"Menurut teks yang Anda berikan, beberapa hal yang menunjukkan bahwa toleransi antaragama sangat dijunjung tinggi dalam masyarakat Jawa Kuno adalah:1. Raja penganut agama Hindu, Rakai Panangkaran, memberikan izin kepada umat Buddha untuk membangun candi dan bahkan menganugerahkan desa Kalasan kepada sangha (komunitas Buddha) untuk pemeliharaan dan pembiayaan Candi Kalasan.2. Pembangunan candi-candi Buddha dan candi-candi Hindu tidak pernah menjadi masalah yang dapat menuai konflik, bahkan raja dari wangsa yang berbeda agama dapat menyokong dan mendanai pembangunan candi dari agama lain.3. Terdapat suasana toleransi dan kebersamaan yang penuh kedamaian antara kedua wangsa kerajaan yang berbeda agama, yaitu wangsa Syailendra (Buddha) dan wangsa Sanjaya (Hindu).4. Pihak Sailendra juga terlibat dalam pembangunan Candi Siwa di Prambanan, yang menunjukkan",Sejarah,"{'bleu': 0.07859944822312086, 'precisions': [0.16666666666666666, 0.08759124087591241, 0.058823529411764705, 0.044444444444444446], 'brevity_penalty': 1.0, 'length_ratio': 4.0588235294117645, 'translation_length': 138, 'reference_length': 34}","{'rouge1': np.float64(0.2684563758389262), 'rouge2': np.float64(0.16326530612244897), 'rougeL': np.float64(0.24161073825503357), 'rougeLsum': np.float64(0.24161073825503357)}",0.8926618099212646,0.5567340850830078
Apa bukti adanya persaingan antara Wangsa Syailendra dan Wangsa Sanjaya?,"Bukti adanya persaingan antara Wangsa Syailendra dan Wangsa Sanjaya adalah:1. Pertempuran pada tahun 856 di perbukitan Ratu Boko, di mana Wangsa Sanjaya memenangi pertempuran tersebut. Ini menunjukkan bahwa terdapat konflik atau persaingan antara kedua wangsa kerajaan tersebut.2. Pembangunan Candi Lara Jonggrang di Prambanan oleh Rakai Pikatan, yang dipercaya sebagai jawaban Wangsa Sanjaya untuk menyaingi kemegahan Borobudur milik Wangsa Syailendra. Ini menunjukkan bahwa terdapat kompetisi atau persaingan antara kedua wangsa kerajaan tersebut dalam hal keagamaan dan arsitektur.3. Ketidakjelasan mengenai hubungan antara Wangsa Syailendra dan Wangsa Sanjaya, yang menunjukkan bahwa terdapat perbedaan pendapat atau interpretasi mengenai hubungan antara kedua wangsa kerajaan tersebut.Namun, perlu diingat bahwa terdapat juga bukti yang menunjukkan bahwa terd",Sejarah,"{'bleu': 0.10358886144298916, 'precisions': [0.2204724409448819, 0.1349206349206349, 0.08, 0.04838709677419355], 'brevity_penalty': 1.0, 'length_ratio': 3.6285714285714286, 'translation_length': 127, 'reference_length': 35}","{'rouge1': np.float64(0.3673469387755102), 'rouge2': np.float64(0.23448275862068968), 'rougeL': np.float64(0.29931972789115646), 'rougeLsum': np.float64(0.29931972789115646)}",0.8652194738388062,0.5711824893951416
Apa isi penting dari Prasasti Kalasan tahun 778 M?,"Prasasti Kalasan tahun 778 M adalah prasasti yang mengandung informasi penting tentang sejarah Jawa kuno. Isi penting dari prasasti ini adalah:1. Penghormatan Rakai Panangkaran kepada umat Buddha: Prasasti ini menyebutkan bahwa Rakai Panangkaran, raja dari wangsa Sanjaya, memberikan izin kepada umat Buddha untuk membangun candi Buddha di Kalasan.2. Pemberian desa Kalasan kepada sangha: Prasasti ini juga menyebutkan bahwa Rakai Panangkaran menganugerahkan desa Kalasan kepada sangha (komunitas Buddha) untuk pemeliharaan dan pembiayaan Candi Kalasan.3. Pembangunan Candi Kalasan untuk memuliakan Bodhisattwadewi Tara: Prasasti ini menyebutkan bahwa Candi Kalasan dibangun untuk memuliakan Bodhisattwadewi Tara, dewi Buddha yang sangat dihormati.Dengan demikian, prasasti Kalasan tahun 778 M adalah sumber penting untuk memahami sejarah Jawa kuno,",Sejarah,"{'bleu': 0.04906058789440475, 'precisions': [0.1590909090909091, 0.07633587786259542, 0.03076923076923077, 0.015503875968992248], 'brevity_penalty': 1.0, 'length_ratio': 5.28, 'translation_length': 132, 'reference_length': 25}","{'rouge1': np.float64(0.30434782608695654), 'rouge2': np.float64(0.16176470588235292), 'rougeL': np.float64(0.28985507246376807), 'rougeLsum': np.float64(0.28985507246376807)}",0.8767527341842651,0.5592882633209229
Apakah Wangsa Syailendra ikut terlibat dalam pembangunan Candi Siwa di Prambanan?,"Ya, menurut teks yang disebutkan, Wangsa Syailendra juga terlibat dalam pembangunan Candi Siwa di Prambanan.",Sejarah,"{'bleu': 0.0846682938349889, 'precisions': [0.6111111111111112, 0.29411764705882354, 0.1875, 0.06666666666666667], 'brevity_penalty': 0.3888955639892228, 'length_ratio': 0.5142857142857142, 'translation_length': 18, 'reference_length': 35}","{'rouge1': np.float64(0.3404255319148936), 'rouge2': np.float64(0.2222222222222222), 'rougeL': np.float64(0.1702127659574468), 'rougeLsum': np.float64(0.1702127659574468)}",0.8007980585098267,0.37547945976257324
Mengapa nama “Borobudur” dianggap misterius dalam sejarah?,"Nama ""Borobudur"" dianggap misterius dalam sejarah karena tidak ada bukti tertulis kuno yang secara jelas menyebutkan asal muasal nama ini.",Sejarah,"{'bleu': 0.3904918831180808, 'precisions': [0.6086956521739131, 0.45454545454545453, 0.3333333333333333, 0.3], 'brevity_penalty': 0.9574533680683809, 'length_ratio': 0.9583333333333334, 'translation_length': 23, 'reference_length': 24}","{'rouge1': np.float64(0.7906976744186046), 'rouge2': np.float64(0.6341463414634148), 'rougeL': np.float64(0.6046511627906976), 'rougeLsum': np.float64(0.6046511627906976)}",0.8926221132278442,0.23877453804016113
Dokumen kuno apa yang pertama kali menyebut eksistensi Candi Borobudur?,"Dokumen kuno yang pertama kali menyebut eksistensi Candi Borobudur adalah kitab Nagara Kertagama, sebuah karya monumental yang dihasilkan oleh Mpu Prapanca pada tahun 1365 Masehi.",Sejarah,"{'bleu': 0.1998573974138024, 'precisions': [0.4444444444444444, 0.2692307692307692, 0.16, 0.08333333333333333], 'brevity_penalty': 1.0, 'length_ratio': 1.5, 'translation_length': 27, 'reference_length': 18}","{'rouge1': np.float64(0.5714285714285713), 'rouge2': np.float64(0.4), 'rougeL': np.float64(0.5714285714285713), 'rougeLsum': np.float64(0.5714285714285713)}",0.9116287231445312,0.2806389331817627
Pada masa dinasti dan agama apa Candi Borobudur dibangun?,"Candi Borobudur dibangun pada masa Dinasti Syailendra, yang beragama Buddha, dan lebih spesifiknya adalah pada aliran Buddha Mahayana.",Sejarah,"{'bleu': 0.3288580454955831, 'precisions': [0.5714285714285714, 0.35, 0.2631578947368421, 0.2222222222222222], 'brevity_penalty': 1.0, 'length_ratio': 1.1666666666666667, 'translation_length': 21, 'reference_length': 18}","{'rouge1': np.float64(0.5714285714285715), 'rouge2': np.float64(0.48484848484848486), 'rougeL': np.float64(0.5714285714285715), 'rougeLsum': np.float64(0.5714285714285715)}",0.9258022904396057,0.27357029914855957
Siapa raja yang memulai pembangunan Candi Borobudur dan siapa yang menyelesaikannya?,"Menurut informasi yang ada, Candi Borobudur dibangun pada masa Dinasti Syailendra yang beragama Buddha. Raja Samaratungga adalah raja yang memerintah saat itu dan Candi Borobudur dibangun pada zaman keemasannya. Namun, tidak ada informasi yang jelas tentang siapa yang memulai pembangunan Candi Borobudur.Tapi menurut informasi yang ada, Candi Borobudur diselesaikan oleh anak perempuan Raja Samaratungga, yaitu Pramodawardhani.",Sejarah,"{'bleu': 0.0, 'precisions': [0.15384615384615385, 0.0625, 0.0, 0.0], 'brevity_penalty': 1.0, 'length_ratio': 4.642857142857143, 'translation_length': 65, 'reference_length': 14}","{'rouge1': np.float64(0.2608695652173913), 'rouge2': np.float64(0.11940298507462686), 'rougeL': np.float64(0.2318840579710145), 'rougeLsum': np.float64(0.2318840579710145)}",0.8308268785476685,0.3781278133392334
"Siapa dua dinasti yang berkuasa di Jawa saat Candi Borobudur dibangun, dan apa perbedaan agama mereka?","Dua dinasti yang berkuasa di Jawa saat Candi Borobudur dibangun adalah Dinasti Sanjaya dan Dinasti Syailendra. Dinasti Sanjaya beragama Hindu, sedangkan Dinasti Syailendra beragama Buddha, khususnya aliran Buddha Mahayana.",Sejarah,"{'bleu': 0.1756572931374891, 'precisions': [0.5151515151515151, 0.34375, 0.16129032258064516, 0.03333333333333333], 'brevity_penalty': 1.0, 'length_ratio': 1.65, 'translation_length': 33, 'reference_length': 20}","{'rouge1': np.float64(0.6666666666666666), 'rouge2': np.float64(0.43478260869565216), 'rougeL': np.float64(0.625), 'rougeLsum': np.float64(0.625)}",0.913652777671814,0.3040323257446289
Apakah Candi Borobudur memiliki prasasti khusus yang menjelaskan secara langsung pembangunan candi tersebut?,"Maaf, saya tidak memiliki informasi yang jelas tentang prasasti khusus yang menjelaskan pembangunan Candi Borobudur secara langsung. Saya hanya tahu bahwa Candi Borobudur tidak memiliki prasasti sendiri yang memberikan teori khusus mengenai pembangunan candi, tetapi ada beberapa prasasti lain yang berkaitan dan menggambarkan tentang konteks sejarah serta kebudayaan pada saat itu.",Sejarah,"{'bleu': 0.22664937309394084, 'precisions': [0.45454545454545453, 0.2962962962962963, 0.16981132075471697, 0.11538461538461539], 'brevity_penalty': 1.0, 'length_ratio': 1.7741935483870968, 'translation_length': 55, 'reference_length': 31}","{'rouge1': np.float64(0.5822784810126583), 'rouge2': np.float64(0.36363636363636365), 'rougeL': np.float64(0.48101265822784806), 'rougeLsum': np.float64(0.48101265822784806)}",0.8777588605880737,0.6975045204162598
Apa isi penting dari Prasasti Karangtengah (Kayumwungan) terkait Candi Borobudur?,"Prasasti Kayumwungan/Karangtengah berisikan pengukuhan candi Borobudur serta pujian-pujian kepada Raja Samaratuṅga dan Pangeran Putri Prāmodavarddhanī dengan menggunakan istilah-istilah mahājñānapuṇya, bhakti, dan buddhacarita.",Sejarah,"{'bleu': 0.2792144566946552, 'precisions': [0.5925925925925926, 0.3076923076923077, 0.2, 0.16666666666666666], 'brevity_penalty': 1.0, 'length_ratio': 1.0384615384615385, 'translation_length': 27, 'reference_length': 26}","{'rouge1': np.float64(0.6909090909090909), 'rouge2': np.float64(0.4528301886792453), 'rougeL': np.float64(0.6909090909090909), 'rougeLsum': np.float64(0.6909090909090909)}",0.9348189830780029,0.9841337203979492
Kitab apa yang dapat membantu memahami istilah dalam prasasti Karangtengah?,Kitab yang dapat membantu memahami istilah dalam prasasti Karangtengah adalah kitab Saṅ Hyaṅ Kamahāyānikan.,Sejarah,"{'bleu': 0.07693656982658191, 'precisions': [0.5333333333333333, 0.21428571428571427, 0.15384615384615385, 0.08333333333333333], 'brevity_penalty': 0.39324072086859835, 'length_ratio': 0.5172413793103449, 'translation_length': 15, 'reference_length': 29}","{'rouge1': np.float64(0.4489795918367347), 'rouge2': np.float64(0.3404255319148936), 'rougeL': np.float64(0.40816326530612246), 'rougeLsum': np.float64(0.40816326530612246)}",0.8268083333969116,0.25136470794677734
Sebutkan beberapa prasasti yang berkaitan dengan konteks sejarah Candi Borobudur.,Beberapa prasasti yang berkaitan dengan konteks sejarah Candi Borobudur adalah:1. Prasasti Karangtengah/Kayumwungan2. Prasasti Kunjarakunja3. Prasasti Keprabon4. Prasasti Canggal5. Prasasti Tri TepusanMereka semua memiliki informasi yang relevan tentang sejarah dan kebudayaan pada saat pembangunan Candi Borobudur.,Sejarah,"{'bleu': 0.05381887058206484, 'precisions': [0.1111111111111111, 0.06818181818181818, 0.046511627906976744, 0.023809523809523808], 'brevity_penalty': 1.0, 'length_ratio': 6.428571428571429, 'translation_length': 45, 'reference_length': 7}","{'rouge1': np.float64(0.18604651162790697), 'rouge2': np.float64(0.14634146341463414), 'rougeL': np.float64(0.18604651162790697), 'rougeLsum': np.float64(0.18604651162790697)}",0.4738292992115021,0.5294878482818604
Apa nama lain dari Prasasti Tri Tepusan yang berkaitan dengan sejarah Borobudur?,Saya tidak tahu nama lain dari Prasasti Tri Tepusan yang berkaitan dengan sejarah Borobudur.,Sejarah,"{'bleu': 0.0, 'precisions': [0.4, 0.14285714285714285, 0.07692307692307693, 0.0], 'brevity_penalty': 1.0, 'length_ratio': 1.3636363636363635, 'translation_length': 15, 'reference_length': 11}","{'rouge1': np.float64(0.41666666666666663), 'rouge2': np.float64(0.18181818181818185), 'rougeL': np.float64(0.3333333333333333), 'rougeLsum': np.float64(0.3333333333333333)}",0.6780539751052856,0.24198174476623535
Siapa yang membangun Candi Borobudur dan apa tujuan utama pembangunannya?,"Candi Borobudur dibangun oleh Dinasti Shailendra pada abad ke-8 dan ke-9. Tujuan utama pembangunannya adalah sebagai penghargaan untuk kemuliaan Buddha dan sebagai situs keagamaan bagi umat Buddha. Selain itu, pembangunan Candi Borobudur juga direncanakan secara strategis untuk menahan bencana alam seperti badai, gempa bumi, dan banjir.",Sejarah,"{'bleu': 0.0, 'precisions': [0.0, 0.0, 0.0, 0.0], 'brevity_penalty': 1.0, 'length_ratio': 10.4, 'translation_length': 52, 'reference_length': 5}","{'rouge1': np.float64(0.0), 'rouge2': np.float64(0.0), 'rougeL': np.float64(0.0), 'rougeLsum': np.float64(0.0)}",0.3421742022037506,0.3648488521575928
"Dari mana asal-usul nama ""Borobudur"" diyakini berasal?","Nama ""Borobudur"" diyakini berasal dari kata-kata Sansekerta ""vihara Buddha uhr,"" yang berarti ""biara Buddha di atas bukit"".",Sejarah,"{'bleu': 0.7476211907073946, 'precisions': [0.96, 0.7916666666666666, 0.6956521739130435, 0.5909090909090909], 'brevity_penalty': 1.0, 'length_ratio': 1.0, 'translation_length': 25, 'reference_length': 25}","{'rouge1': np.float64(0.9714285714285714), 'rouge2': np.float64(0.9696969696969697), 'rougeL': np.float64(0.9714285714285714), 'rougeLsum': np.float64(0.9714285714285714)}",0.9963922500610352,0.2845335006713867
Bagaimana desain arsitektur Candi Borobudur dibuat agar tahan terhadap bencana alam?,"Desain arsitektur Candi Borobudur dibuat agar tahan terhadap bencana alam seperti badai, gempa bumi, dan banjir dengan beberapa strategi yang efektif. Berikut beberapa hal yang membuat Candi Borobudur tahan terhadap bencana alam:1. **Struktur Piramida**: Candi Borobudur memiliki struktur seperti piramida, dengan dasar yang lebih lebar dan bagian atas yang meruncing. Desain ini memastikan stabilitas dan umur panjangnya, karena dapat menahan tekanan dari luar dan mengurangi dampak dari gempa bumi.2. **Tahan terhadap Badai**: Struktur Candi Borobudur juga dirancang untuk menahan badai. Dengan dasar yang lebih lebar, bangunan dapat menahan angin kencang dan hujan deras.3. **Tahan terhadap Banjir**: Candi Borobudur juga dirancang untuk menahan banjir. Dengan tinggi bangunan yang lebih tinggi dari sekitarnya, bangunan dapat menahan air dan melindungi diri dari",Sejarah,"{'bleu': 0.06540443356248078, 'precisions': [0.17647058823529413, 0.1118421052631579, 0.046357615894039736, 0.02], 'brevity_penalty': 1.0, 'length_ratio': 5.1, 'translation_length': 153, 'reference_length': 30}","{'rouge1': np.float64(0.3108108108108108), 'rouge2': np.float64(0.1917808219178082), 'rougeL': np.float64(0.2702702702702703), 'rougeLsum': np.float64(0.2702702702702703)}",0.8682721853256226,0.5750057697296143
Kapan Candi Borobudur ditemukan kembali setelah lama ditinggalkan?,Candi Borobudur ditemukan kembali pada abad ke-19.,Sejarah,"{'bleu': 0.24909923021496896, 'precisions': [1.0, 0.8571428571428571, 0.8333333333333334, 0.8], 'brevity_penalty': 0.2865047968601901, 'length_ratio': 0.4444444444444444, 'translation_length': 8, 'reference_length': 18}","{'rouge1': np.float64(0.5925925925925926), 'rouge2': np.float64(0.56), 'rougeL': np.float64(0.5925925925925926), 'rougeLsum': np.float64(0.5925925925925926)}",0.8359367251396179,0.5086843967437744
