,Question,Generated Answer,Standard Answer,Topic,BLEU Score,ROUGE Score,IndoBERT Similarity,Inference Time
20,Mengapa Candi Borobudur ditetapkan sebagai Situs Warisan Dunia UNESCO?,"Candi Borobudur ditetapkan sebagai Situs Warisan Dunia UNESCO karena signifikansinya sebagai monumen budaya dan sejarah yang mewakili peradaban Jawa kuno pada abad VIII-IX M. Selain itu, keindahan arsitektur candi, dengan ukiran relief yang rumit dan struktur platform bertumpuk, menampilkan puncak keahlian Jawa kuno.",Candi Borobudur ditetapkan sebagai Situs Warisan Dunia UNESCO karena signifikansinya sebagai monumen budaya dan sejarah yang mewakili peradaban Jawa kuno pada abad VIII-IX M,Budaya,"{'bleu': 0.483412530051422, 'precisions': [0.5, 0.48936170212765956, 0.4782608695652174, 0.4666666666666667], 'brevity_penalty': 1.0, 'length_ratio': 2.0, 'translation_length': 48, 'reference_length': 24}","{'rouge1': np.float64(0.7246376811594203), 'rouge2': np.float64(0.7164179104477612), 'rougeL': np.float64(0.7246376811594203), 'rougeLsum': np.float64(0.7246376811594203)}",0.9354132413864136,0.31296801567077637
21,Apa yang membuat Candi Borobudur menjadi simbol warisan budaya Jawa?,"Candi Borobudur menjadi simbol warisan budaya Jawa karena keindahan arsitektur candi, ukiran relief yang rumit, dan struktur platform bertumpuk yang menampilkan puncak keahlian Jawa kuno. Selain itu, candi ini juga berfungsi sebagai sumber informasi tentang tipologi konstruksi kayu selama periode Jawa Kuno, sehingga memberikan wawasan berharga tentang peradaban Jawa kuno.","Candi Borobudur menjadi simbol warisan budaya Jawa karena keindahan arsitektur candi, dengan ukiran relief yang rumit dan struktur platform bertumpuk, menampilkan puncak keahlian Jawa kuno.",Budaya,"{'bleu': 0.3609870812493444, 'precisions': [0.48214285714285715, 0.4, 0.3333333333333333, 0.2641509433962264], 'brevity_penalty': 1.0, 'length_ratio': 2.0, 'translation_length': 56, 'reference_length': 28}","{'rouge1': np.float64(0.64), 'rouge2': np.float64(0.5753424657534246), 'rougeL': np.float64(0.64), 'rougeLsum': np.float64(0.64)}",0.9335614442825317,0.3330807685852051
22,Bagaimana Candi Borobudur berkontribusi pada ekonomi lokal?,"Candi Borobudur berkontribusi pada ekonomi lokal dengan menarik wisatawan dari seluruh dunia. Keindahan dan signifikansi arsitektur candi ini membuatnya menjadi salah satu destinasi wisata terpopuler di Indonesia, sehingga membantu meningkatkan pendapatan lokal melalui industri pariwisata.","Candi Borobudur berkontribusi pada ekonomi lokal dengan menarik wisatawan dari seluruh dunia, sehingga mempromosikan pertukaran budaya dan meningkatkan ekonomi lokal.",Budaya,"{'bleu': 0.3236570703458539, 'precisions': [0.47368421052631576, 0.32432432432432434, 0.2777777777777778, 0.2571428571428571], 'brevity_penalty': 1.0, 'length_ratio': 1.7272727272727273, 'translation_length': 38, 'reference_length': 22}","{'rouge1': np.float64(0.5818181818181818), 'rouge2': np.float64(0.4150943396226416), 'rougeL': np.float64(0.5454545454545454), 'rougeLsum': np.float64(0.5454545454545454)}",0.9416661858558655,0.29108333587646484
23,Apa yang dilakukan untuk melestarikan Candi Borobudur?,"Upaya pelestarian dan konservasi Candi Borobudur telah dilakukan untuk menjaga keaslian dan keindahan candi ini. Beberapa contoh yang dilakukan adalah:1. Pembersihan dan perawatan struktur candi secara berkala untuk mencegah kerusakan dan korosi.2. Konservasi relief dan ukiran yang rumit untuk menjaga keaslian dan keindahan.3. Pengamanan dan pengawasan candi untuk mencegah vandalisme dan kerusakan.4. Pendidikan dan kesadaran masyarakat tentang pentingnya pelestarian Candi Borobudur.5. Kerja sama dengan organisasi internasional dan lokal untuk mendapatkan bantuan dan sumber daya untuk pelestarian.Dengan demikian, Candi Borobudur dapat tetap lestari dan menjadi warisan budaya yang indah dan berharga bagi generasi masa depan.",Upaya pelestarian dan konservasi Candi Borobudur dilakukan untuk menjaga warisan budaya kawasan Borobudur sebagai Situs Warisan Budaya Dunia.,Budaya,"{'bleu': 0.05586632139690622, 'precisions': [0.11403508771929824, 0.07079646017699115, 0.044642857142857144, 0.02702702702702703], 'brevity_penalty': 1.0, 'length_ratio': 6.0, 'translation_length': 114, 'reference_length': 19}","{'rouge1': np.float64(0.20338983050847456), 'rouge2': np.float64(0.13793103448275865), 'rougeL': np.float64(0.20338983050847456), 'rougeLsum': np.float64(0.20338983050847456)}",0.8199424743652344,0.5372622013092041
24,Mengapa Candi Borobudur dianggap sebagai situs warisan budaya yang penting?,"Candi Borobudur dianggap sebagai situs warisan budaya yang penting karena beberapa alasan. Pertama, keindahan arsitektur candi dengan ukiran relief yang rumit dan struktur platform bertumpuk menampilkan puncak keahlian Jawa kuno. Kedua, relief naratif candi memberikan wawasan berharga tentang tipologi konstruksi kayu selama periode Jawa Kuno, sehingga berkontribusi pada pemahaman arsitektur Jawa kuno. Terakhir, Candi Borobudur berfungsi sebagai simbol warisan budaya Jawa yang kaya dan menarik wisatawan dari seluruh dunia, sehingga berkontribusi pada ekonomi lokal dan mempromosikan pertukaran budaya.","Candi Borobudur dianggap sebagai situs warisan budaya yang penting karena signifikansinya sebagai monumen budaya dan sejarah, nilai budaya, dan upaya pelestarian yang dilakukan untuk menjaganya.",Budaya,"{'bleu': 0.11570897739921714, 'precisions': [0.21839080459770116, 0.10465116279069768, 0.09411764705882353, 0.08333333333333333], 'brevity_penalty': 1.0, 'length_ratio': 3.107142857142857, 'translation_length': 87, 'reference_length': 28}","{'rouge1': np.float64(0.3106796116504854), 'rouge2': np.float64(0.17821782178217824), 'rougeL': np.float64(0.27184466019417475), 'rougeLsum': np.float64(0.27184466019417475)}",0.8508261442184448,0.4131758213043213
25,Apa yang dirayakan di Candi Borobudur pada hari Waisak?,"Pada hari Waisak, Candi Borobudur menyelenggarakan perayaan yang dirayakan dengan prosesi, doa, dan persembahan. Perayaan ini adalah bagian dari tradisi dan praktik Buddhis, dan merupakan upacara Buddhis penting lainnya yang dilakukan di kuil itu.","Waisak, juga dikenal sebagai Ulang Tahun Buddha, dirayakan dengan prosesi, doa, dan persembahan di Candi Borobudur.",Budaya,"{'bleu': 0.20729378242245203, 'precisions': [0.375, 0.23076923076923078, 0.15789473684210525, 0.13513513513513514], 'brevity_penalty': 1.0, 'length_ratio': 1.9047619047619047, 'translation_length': 40, 'reference_length': 21}","{'rouge1': np.float64(0.4), 'rouge2': np.float64(0.25000000000000006), 'rougeL': np.float64(0.31999999999999995), 'rougeLsum': np.float64(0.31999999999999995)}",0.8656384944915771,0.2865738868713379
26,Apa upacara Buddhis penting lainnya yang dilakukan di Candi Borobudur?,Upacara Buddhis penting lainnya yang dilakukan di Candi Borobudur adalah Purnama (bulan purnama).,Upacara Buddhis penting lainnya yang dilakukan di Candi Borobudur adalah Purnama (bulan purnama) dan Waisak (perayaan pencerahan Buddha).,Budaya,"{'bleu': 0.6212400797197039, 'precisions': [1.0, 1.0, 0.9285714285714286, 0.9230769230769231], 'brevity_penalty': 0.645648526427892, 'length_ratio': 0.6956521739130435, 'translation_length': 16, 'reference_length': 23}","{'rouge1': np.float64(0.8387096774193548), 'rouge2': np.float64(0.8275862068965517), 'rougeL': np.float64(0.8387096774193548), 'rougeLsum': np.float64(0.8387096774193548)}",0.9738236665725708,0.22320556640625
27,Apa yang dilakukan selama upacara di Candi Borobudur?,"Selama upacara di Candi Borobudur, beberapa kegiatan yang dilakukan antara lain:1. Nyanyian kitab suci Buddha2. Meditasi3. Menyalakan lilin dan dupa sebagai persembahan4. Prosesi dan doa5. PersembahanSelain itu, para penyembah juga dapat berkumpul dan berpartisipasi dalam acara-acara keagamaan di ruang terbuka dan teras kuil.","Selama upacara di Candi Borobudur, para penyembah melakukan nyanyian kitab suci Buddha, meditasi, dan menyalakan lilin dan dupa sebagai persembahan.",Budaya,"{'bleu': 0.16521332095685556, 'precisions': [0.32075471698113206, 0.21153846153846154, 0.13725490196078433, 0.08], 'brevity_penalty': 1.0, 'length_ratio': 2.2083333333333335, 'translation_length': 53, 'reference_length': 24}","{'rouge1': np.float64(0.4923076923076923), 'rouge2': np.float64(0.3492063492063492), 'rougeL': np.float64(0.39999999999999997), 'rougeLsum': np.float64(0.39999999999999997)}",0.8381202220916748,0.3539855480194092
28,Bagaimana ruang terbuka dan teras di Candi Borobudur digunakan?,"Ruang terbuka dan teras di Candi Borobudur digunakan sebagai tempat bagi para penyembah untuk berkumpul dan berpartisipasi dalam acara-acara keagamaan, seperti prosesi, doa, dan persembahan.",Ruang terbuka dan teras di Candi Borobudur menyediakan ruang yang cukup bagi para penyembah untuk berkumpul dan berpartisipasi dalam acara-acara keagamaan.,Budaya,"{'bleu': 0.510154433288328, 'precisions': [0.6206896551724138, 0.5357142857142857, 0.48148148148148145, 0.4230769230769231], 'brevity_penalty': 1.0, 'length_ratio': 1.3181818181818181, 'translation_length': 29, 'reference_length': 22}","{'rouge1': np.float64(0.7500000000000001), 'rouge2': np.float64(0.6956521739130435), 'rougeL': np.float64(0.7500000000000001), 'rougeLsum': np.float64(0.7500000000000001)}",0.9620161056518555,0.26110148429870605
29,Siapa yang mengunjungi Candi Borobudur selama upacara dan festival?,Para peziarah dari berbagai belahan dunia akan mengunjungi Candi Borobudur selama upacara dan festival ini untuk memberi penghormatan dan mencari berkat rohani.,Para peziarah dari berbagai belahan dunia akan mengunjungi Candi Borobudur selama upacara dan festival untuk memberi penghormatan dan mencari berkat rohani.,Budaya,"{'bleu': 0.8787419089273848, 'precisions': [0.9565217391304348, 0.9090909090909091, 0.8571428571428571, 0.8], 'brevity_penalty': 1.0, 'length_ratio': 1.0454545454545454, 'translation_length': 23, 'reference_length': 22}","{'rouge1': np.float64(0.9767441860465117), 'rouge2': np.float64(0.9268292682926829), 'rougeL': np.float64(0.9767441860465117), 'rougeLsum': np.float64(0.9767441860465117)}",0.9942481517791748,0.24104833602905273
