,Question,Generated Answer,Topic,BLEU Score,ROUGE Score,Inference Time
10,"""Bagaimana relief berkontribusi pada simbolisme Candi Borobudur secara keseluruhan?""","Relief di Candi Borobudur berkontribusi pada simbolisme candi secara keseluruhan dengan menggambarkan cerita dan ajaran Buddha, serta mewakili berbagai tingkat keberadaan dan jalan menuju pencerahan. Relief ini juga meningkatkan keindahan estetika candi dan berkontribusi pada kemegahannya secara keseluruhan.",Arsitektur,"{'bleu': 0.0, 'precisions': [0.2682926829268293, 0.1, 0.02564102564102564, 0.0], 'brevity_penalty': 1.0, 'length_ratio': 1.5185185185185186, 'translation_length': 41, 'reference_length': 27}","{'rouge1': 0.32786885245901637, 'rouge2': 0.13559322033898308, 'rougeL': 0.26229508196721313, 'rougeLsum': 0.26229508196721313}",0.804093599319458
11,"""Apa makna simbol-simbol yang terkandung dalam relief-relief Candi Borobudur?""","Relief-relief pada Candi Borobudur memiliki makna yang mendalam, termasuk ajaran keagamaan, kebajikan, dan kisah-kisah moral. Beberapa contoh relief seperti Karmawibhangga, Lalitavistara, dan relief cerita menggambarkan perbuatan manusia, kehidupan Sang Budha, dan ajaran Budha yang dapat diinterpretasikan dan dipelajari oleh para pengunjung.",Arsitektur,"{'bleu': 0.0, 'precisions': [0.38, 0.10204081632653061, 0.020833333333333332, 0.0], 'brevity_penalty': 0.8187307530779819, 'length_ratio': 0.8333333333333334, 'translation_length': 50, 'reference_length': 60}","{'rouge1': 0.4175824175824176, 'rouge2': 0.15730337078651685, 'rougeL': 0.1978021978021978, 'rougeLsum': 0.1978021978021978}",0.8530254364013672
12,"""Apa yang membuat Candi Borobudur unik dibandingkan dengan candi lain di Indonesia?""","Candi Borobudur unik karena memiliki konstruksi dan arsitektur yang sangat tinggi, serta mengandung berbagai konsep logika, konfigurasi ruang, sistematisasi, dan bentuk geometris yang kompleks. Selain itu, Candi Borobudur juga memiliki konsep literasi yang kuat dalam menangkap fenomena alam dan memaknainya sebagai simbol atas pencapaian spiritualitas tertinggi.",Arsitektur,"{'bleu': 0.5336646510802621, 'precisions': [0.5471698113207547, 0.5384615384615384, 0.5294117647058824, 0.52], 'brevity_penalty': 1.0, 'length_ratio': 1.7096774193548387, 'translation_length': 53, 'reference_length': 31}","{'rouge1': 0.6857142857142856, 'rouge2': 0.676470588235294, 'rougeL': 0.6857142857142856, 'rougeLsum': 0.6857142857142856}",0.7975172996520996
13,"""Mengapa relief-relief di lantai teras Candi Borobudur menggambarkan kehidupan sehari-hari masyarakat pada zamannya?""","Relief-relief di lantai teras Candi Borobudur menggambarkan kehidupan sehari-hari masyarakat pada zamannya karena candi tersebut tidak hanya merupakan sebuah monumen agama, tetapi juga mencerminkan kehidupan dan budaya masyarakat pada masa itu. Dengan demikian, relief-relief tersebut memberikan gambaran tentang aktivitas sehari-hari, kegiatan sosial, dan kehidupan masyarakat pada masa lalu.",Arsitektur,"{'bleu': 0.3373304142677466, 'precisions': [0.48148148148148145, 0.33962264150943394, 0.28846153846153844, 0.27450980392156865], 'brevity_penalty': 1.0, 'length_ratio': 1.35, 'translation_length': 54, 'reference_length': 40}","{'rouge1': 0.5454545454545455, 'rouge2': 0.4418604651162791, 'rougeL': 0.38636363636363635, 'rougeLsum': 0.38636363636363635}",0.831536054611206
14,"""Bagaimana peran ukiran dan relief dalam konteks Stupa di Candi Borobudur?""","Ukiran dan relief di Stupa Candi Borobudur memainkan peran penting dalam meningkatkan aspek spiritual, pendidikan, dan artistik. Mereka menggambarkan ajaran Buddha, berfungsi sebagai bantuan meditasi, serta melestarikan dan mentransmisikan pengetahuan budaya dan sejarah.",Arsitektur,"{'bleu': 0.14746721260489865, 'precisions': [0.6410256410256411, 0.39473684210526316, 0.24324324324324326, 0.16666666666666666], 'brevity_penalty': 0.4633693692311752, 'length_ratio': 0.5652173913043478, 'translation_length': 39, 'reference_length': 69}","{'rouge1': 0.4301075268817204, 'rouge2': 0.26373626373626374, 'rougeL': 0.3010752688172043, 'rougeLsum': 0.3010752688172043}",0.7618808746337891
15,"""Mengapa relief-relief di lantai teras Candi Borobudur memiliki tingkat detail yang tinggi?""",Relief-relief di lantai teras Candi Borobudur memiliki tingkat detail yang tinggi karena mencerminkan keahlian dan keterampilan para pembuatnya serta pentingnya pesan-pesan spiritual dan kosmologis yang ingin disampaikan. Tingkat detail yang tinggi tersebut juga menunjukkan dedikasi dan keahlian seniman dan pengrajin pada masa itu dalam mengabadikan ajaran dan simbolisme spiritual dalam bentuk seni arsitektur.,Arsitektur,"{'bleu': 0.41319932584995894, 'precisions': [0.4727272727272727, 0.42592592592592593, 0.39622641509433965, 0.36538461538461536], 'brevity_penalty': 1.0, 'length_ratio': 1.8333333333333333, 'translation_length': 55, 'reference_length': 30}","{'rouge1': 0.6506024096385543, 'rouge2': 0.5679012345679013, 'rougeL': 0.6024096385542169, 'rougeLsum': 0.6024096385542169}",0.9451074600219727
16,"""Apa yang dimaksud dengan relief fauna pada pahatan dinding Candi Borobudur?""","Relief fauna pada pahatan dinding Candi Borobudur merujuk pada gambar-gambar hewan yang dipahat pada dinding candi tersebut. Relief ini mencakup berbagai jenis fauna, seperti Mammalia, Aves, Reptilia, dan Pisces.",Arsitektur,"{'bleu': 0.8721827599607718, 'precisions': [0.9714285714285714, 0.9411764705882353, 0.9090909090909091, 0.875], 'brevity_penalty': 0.9444591369948698, 'length_ratio': 0.9459459459459459, 'translation_length': 35, 'reference_length': 37}","{'rouge1': 0.9666666666666667, 'rouge2': 0.9310344827586207, 'rougeL': 0.9666666666666667, 'rougeLsum': 0.9666666666666667}",0.6593222618103027
17,"""Apakah terdapat perbedaan tipologi atap pada bagian-bagian berbeda dari Candi Borobudur?""","Ya, terdapat perbedaan tipologi atap pada bagian-bagian berbeda dari Candi Borobudur. Perbedaan ini dapat dilihat dari tujuh tipe atap yang berbeda, seperti limasan, pelana, dan atap persegi bertingkat.",Arsitektur,"{'bleu': 0.10807359350830112, 'precisions': [0.7058823529411765, 0.3939393939393939, 0.21875, 0.0967741935483871], 'brevity_penalty': 0.39016854342397683, 'length_ratio': 0.5151515151515151, 'translation_length': 34, 'reference_length': 66}","{'rouge1': 0.4878048780487806, 'rouge2': 0.225, 'rougeL': 0.3170731707317073, 'rougeLsum': 0.3170731707317073}",0.6839804649353027
18,"""Apa dua interpretasi dari tujuh lingkaran relief di Candi Borobudur?""",Dua interpretasi dari tujuh lingkaran relief di Candi Borobudur adalah relief tersebut mewakili konstelasi Ursa Major sebagai penanda arah utara dan kemiripan antara tujuh lingkaran relief dengan gugus bintang Pleiades. Interpretasi ini menunjukkan bahwa relief tersebut memiliki makna yang dalam dan terkait dengan astronomi.,Arsitektur,"{'bleu': 0.31288815921279917, 'precisions': [0.5, 0.37777777777777777, 0.2727272727272727, 0.18604651162790697], 'brevity_penalty': 1.0, 'length_ratio': 1.5862068965517242, 'translation_length': 46, 'reference_length': 29}","{'rouge1': 0.6376811594202899, 'rouge2': 0.44776119402985076, 'rougeL': 0.5217391304347826, 'rougeLsum': 0.5217391304347826}",0.7481985092163086
19,"""Bagaimana mungkin hubungan antara struktur dan ornamen dalam Borobudur mengungkapkan pemahaman tentang fenomena astronomi?""","Hubungan antara struktur dan ornamen dalam Borobudur mengungkapkan pemahaman tentang fenomena astronomi melalui penempatan relief-relief dan stupa-stupa yang memiliki kaitan dengan orientasi mata angin, perhitungan terkait pergerakan matahari, bulan, dan bintang, serta simbolisme astronomi. Relief-relief tersebut juga memberikan informasi mengenai perjalanan matahari sepanjang tahun, titik balik matahari, dan fenomena astronomi lainnya yang terkait dengan siklus musiman atau perubahan alam.",Arsitektur,"{'bleu': 0.5322632994018284, 'precisions': [0.6417910447761194, 0.5606060606060606, 0.49230769230769234, 0.453125], 'brevity_penalty': 1.0, 'length_ratio': 1.2641509433962264, 'translation_length': 67, 'reference_length': 53}","{'rouge1': 0.7678571428571428, 'rouge2': 0.6545454545454545, 'rougeL': 0.75, 'rougeLsum': 0.75}",1.4528887271881104
20,"""Bagaimana bentuk stupa di Candi Borobudur berhubungan dengan ruangnya?""","Bentuk stupa di Candi Borobudur sangat erat kaitannya dengan ruangnya, dengan hubungan yang dieksplorasi dalam penelitian yang dilakukan di candi tersebut. Bentuk stupa berkembang dari titik pusat dan memiliki susunan simetris komponen stupa, dipengaruhi oleh konsep agama dan memiliki karakteristik umum di berbagai variasi.",Arsitektur,"{'bleu': 0.11743071096224798, 'precisions': [0.8541666666666666, 0.6382978723404256, 0.4782608695652174, 0.37777777777777777], 'brevity_penalty': 0.2096113871510978, 'length_ratio': 0.3902439024390244, 'translation_length': 48, 'reference_length': 123}","{'rouge1': 0.513888888888889, 'rouge2': 0.39436619718309857, 'rougeL': 0.4583333333333333, 'rougeLsum': 0.47222222222222227}",0.8257322311401367
21,"""Apa pendapat para pakar sejarah tentang konteks sosial politik yang memicu pengeboman Candi Borobudur?""","Para pakar sejarah mengidentifikasi beberapa faktor sosial politik yang memicu pengeboman Candi Borobudur, termasuk faktor politik, sosial, emosi keagamaan, dan ideologi. Mereka juga menekankan bahwa pengeboman tersebut memiliki kaitan dengan dinamika sosial politik Indonesia pada masa itu.",Arsitektur,"{'bleu': 0.20825339547808036, 'precisions': [0.6744186046511628, 0.40476190476190477, 0.2926829268292683, 0.2], 'brevity_penalty': 0.5857373951845618, 'length_ratio': 0.6515151515151515, 'translation_length': 43, 'reference_length': 66}","{'rouge1': 0.5208333333333334, 'rouge2': 0.3829787234042554, 'rougeL': 0.35416666666666663, 'rougeLsum': 0.35416666666666663}",0.9460463523864746
22,"""Apa yang menjadi dari bentuk Stupa di Candi Borobudur?""","Maaf, saya tidak memiliki informasi yang cukup untuk menjelaskan secara detail tentang bentuk Stupa di Candi Borobudur. Namun, saya tahu bahwa bentuk Stupa memiliki simbolisme yang signifikan dalam arsitektur dan spiritualitas Buddha.",Arsitektur,"{'bleu': 0.31225468752865415, 'precisions': [0.3888888888888889, 0.34285714285714286, 0.29411764705882354, 0.24242424242424243], 'brevity_penalty': 1.0, 'length_ratio': 2.1176470588235294, 'translation_length': 36, 'reference_length': 17}","{'rouge1': 0.6086956521739131, 'rouge2': 0.5454545454545454, 'rougeL': 0.6086956521739131, 'rougeLsum': 0.6086956521739131}",0.6883580684661865
23,"""Apa keindahan arsitektur Candi Borobudur?""","Keindahan arsitektur Candi Borobudur terletak pada ukiran relief yang rumit dan terperinci yang menggambarkan berbagai pemandangan dari ajaran Buddha dan budaya Jawa. Struktur candi yang terdiri dari platform bertumpuk membentuk struktur seperti piramida besar, dengan setiap tingkat dihiasi dengan ukiran dan patung hiasan yang menciptakan rasa kagum dan penghormatan bagi pengunjung.",Arsitektur,"{'bleu': 0.31765521605774194, 'precisions': [0.42592592592592593, 0.3018867924528302, 0.28846153846153844, 0.27450980392156865], 'brevity_penalty': 1.0, 'length_ratio': 1.3170731707317074, 'translation_length': 54, 'reference_length': 41}","{'rouge1': 0.4597701149425288, 'rouge2': 0.3529411764705882, 'rougeL': 0.4367816091954023, 'rougeLsum': 0.4367816091954023}",0.9354972839355469
24,"""Bagaimana elemen lantai teras Candi Borobudur mencerminkan ajaran Buddha?""","Elemen lantai teras Candi Borobudur mencerminkan ajaran Buddha melalui penggambaran tingkatan perjalanan spiritual manusia menuju kesempurnaan. Elemen-elemen tersebut juga menggambarkan tahapan pencapaian Bodhisattvabhumi dan simbolisasi unsur-unsur seperti Kamadhatu, Rupadhatu, dan Arupadhatu dalam kosmologi Buddha.",Arsitektur,"{'bleu': 0.19317737156592138, 'precisions': [0.8421052631578947, 0.6756756756756757, 0.5277777777777778, 0.42857142857142855], 'brevity_penalty': 0.32252360637329724, 'length_ratio': 0.4691358024691358, 'translation_length': 38, 'reference_length': 81}","{'rouge1': 0.5794392523364487, 'rouge2': 0.45714285714285724, 'rougeL': 0.5233644859813084, 'rougeLsum': 0.5233644859813084}",0.8213112354278564
25,"""Apa itu Candi Borobudur?""","Candi Borobudur adalah salah satu Candi Budha yang terkenal dan terbesar di Indonesia, menyimpan nilai sejarah yang tinggi dan memiliki arsitektur yang megah. Candi ini merupakan salah satu warisan budaya dunia yang ditetapkan langsung oleh UNESCO pada tahun 1991.",Arsitektur,"{'bleu': 0.2534684260065973, 'precisions': [0.38095238095238093, 0.2682926829268293, 0.225, 0.1794871794871795], 'brevity_penalty': 1.0, 'length_ratio': 2.1, 'translation_length': 42, 'reference_length': 20}","{'rouge1': 0.5357142857142858, 'rouge2': 0.4074074074074074, 'rougeL': 0.4642857142857143, 'rougeLsum': 0.4642857142857143}",0.6939806938171387
26,"""Apakah terdapat variasi dalam tipologi atap bangunan di Candi Borobudur?""","Ya, terdapat variasi dalam tipologi atap bangunan di Candi Borobudur. Variasi tersebut mencakup tujuh tipe/kelompok atap, yaitu limasan, limasan melengkung, limasan dengan tambahan kanopi, pelana, pelana miring keluar, pelana melengkung, dan atap persegi bertingkat.",Arsitektur,"{'bleu': 0.595284519986452, 'precisions': [0.782608695652174, 0.6888888888888889, 0.5909090909090909, 0.5581395348837209], 'brevity_penalty': 0.9167169520254864, 'length_ratio': 0.92, 'translation_length': 46, 'reference_length': 50}","{'rouge1': 0.7222222222222223, 'rouge2': 0.6, 'rougeL': 0.7222222222222223, 'rougeLsum': 0.7222222222222223}",0.8225915431976318
27,"""Apakah ada bantuan internasional dalam upaya pemulihan dan rekonstruksi Candi Borobudur?""","Tawaran bantuan internasional dari UNESCO memang ada, namun pemerintah Indonesia memilih untuk menangani pemulihan dan rekonstruksi Candi Borobudur sendiri.",Arsitektur,"{'bleu': 0.0, 'precisions': [0.3333333333333333, 0.05, 0.0, 0.0], 'brevity_penalty': 0.6832104226749482, 'length_ratio': 0.7241379310344828, 'translation_length': 21, 'reference_length': 29}","{'rouge1': 0.23255813953488372, 'rouge2': 0.04878048780487805, 'rougeL': 0.186046511627907, 'rougeLsum': 0.186046511627907}",0.622185230255127
28,"""Apa yang menyebabkan kerusakan awal Candi Borobudur?""","Kerusakan awal Candi Borobudur disebabkan oleh beberapa faktor, termasuk letusan gunung berapi, gempa bumi, dan pengabaian setelah keruntuhan Kerajaan Mataram Kuno. Selain itu, air hujan yang menggenang juga dapat menyebabkan kerusakan pada kualitas batu dan pondasi candi.",Arsitektur,"{'bleu': 0.7237142470097893, 'precisions': [0.9069767441860465, 0.8095238095238095, 0.7317073170731707, 0.675], 'brevity_penalty': 0.932610680893436, 'length_ratio': 0.9347826086956522, 'translation_length': 43, 'reference_length': 46}","{'rouge1': 0.88, 'rouge2': 0.7671232876712328, 'rougeL': 0.88, 'rougeLsum': 0.88}",0.8117456436157227
29,"""Apakah relief-relief tertentu di Borobudur menggambarkan hubungan antara manusia, dewa-dewa, dan alam semesta dari perspektif arkeoastronomi?""","Ya, relief-relief tertentu di Borobudur menggambarkan hubungan antara manusia, dewa-dewa, dan alam semesta dari perspektif arkeoastronomi. Relief-relief tersebut memberikan informasi mengenai perjalanan matahari sepanjang tahun dan fenomena astronomi lainnya.",Arsitektur,"{'bleu': 0.2325713298191384, 'precisions': [0.5882352941176471, 0.3333333333333333, 0.25, 0.1935483870967742], 'brevity_penalty': 0.7451888170134805, 'length_ratio': 0.7727272727272727, 'translation_length': 34, 'reference_length': 44}","{'rouge1': 0.5217391304347827, 'rouge2': 0.3283582089552239, 'rougeL': 0.37681159420289856, 'rougeLsum': 0.37681159420289856}",0.7311291694641113
30,"""Bagaimana bentuk Stupa di Candi Borobudur mencerminkan pengaruh seni dan arsitektur pada masanya?""","Bentuk stupa di Candi Borobudur mencerminkan pengaruh seni dan arsitektur pada masanya melalui berbagai macam bentuk yang digunakan, seperti stupa-stupa bercelah dan stupa-stupa lainnya yang melambangkan konsep Parinirvana dan tahap-tahap seorang yogin dalam mencapai Kebuddhaan. Stupa-stupa tersebut juga memiliki keunikan yang tidak dimiliki oleh candi-candi Buddha lainnya di Jawa, seperti penggunaan berbagai macam bentuk dan tata letak yang berbeda.",Arsitektur,"{'bleu': 0.20360946277962438, 'precisions': [0.3333333333333333, 0.20967741935483872, 0.16393442622950818, 0.15], 'brevity_penalty': 1.0, 'length_ratio': 1.8, 'translation_length': 63, 'reference_length': 35}","{'rouge1': 0.45999999999999996, 'rouge2': 0.3469387755102041, 'rougeL': 0.36, 'rougeLsum': 0.36}",0.9798855781555176
31,"""Apakah karakteristik fisik batu yang membentuk relief-relief di Candi Borobudur?""","Karakteristik fisik batu yang membentuk relief-relief di Candi Borobudur meliputi warna, porositas, daya serap air, kekerasan, dan temperatur. Perbedaan karakteristik ini mempengaruhi sifat-sifat batu, seperti kemampuan menyerap panas dan kekuatan batu.",Arsitektur,"{'bleu': 0.5885196734977736, 'precisions': [0.6052631578947368, 0.5945945945945946, 0.5833333333333334, 0.5714285714285714], 'brevity_penalty': 1.0, 'length_ratio': 1.52, 'translation_length': 38, 'reference_length': 25}","{'rouge1': 0.7307692307692308, 'rouge2': 0.72, 'rougeL': 0.7307692307692308, 'rougeLsum': 0.7307692307692308}",0.7802591323852539
32,"""Bagaimana cara mencapai Stupa teratas di Candi Borobudur?""","Untuk mencapai puncak stupa di Candi Borobudur, pengunjung perlu naik melalui tingkat candi. Anda perlu melewati beberapa tingkat candi untuk mencapai stupa teratas.",Arsitektur,"{'bleu': 0.549696364469696, 'precisions': [0.5769230769230769, 0.56, 0.5416666666666666, 0.5217391304347826], 'brevity_penalty': 1.0, 'length_ratio': 1.5294117647058822, 'translation_length': 26, 'reference_length': 17}","{'rouge1': 0.7222222222222222, 'rouge2': 0.7058823529411764, 'rougeL': 0.7222222222222222, 'rougeLsum': 0.7222222222222222}",0.7074892520904541
33,"""Bagaimana fauna diukir untuk merepresentasikan setting lingkungannya pada relief Candi Borobudur?""","Fauna diukir pada relief Candi Borobudur untuk merepresentasikan setting lingkungannya dengan menggambarkan lingkungan budi daya dan lingkungan alami, seperti hutan. Relief fauna tersebut juga digunakan untuk menggambarkan setting lingkungan India Abad VII secara visual.",Arsitektur,"{'bleu': 0.9473808953395987, 'precisions': [1.0, 1.0, 1.0, 1.0], 'brevity_penalty': 0.9473808953395987, 'length_ratio': 0.9487179487179487, 'translation_length': 37, 'reference_length': 39}","{'rouge1': 1.0, 'rouge2': 1.0, 'rougeL': 1.0, 'rougeLsum': 1.0}",0.681377649307251
34,"""Apakah ada perubahan signifikan dalam desain Stupa dari tingkat pertama ke tingkat teratas di Candi Borobudur?""","Ya, terdapat perubahan signifikan dalam desain stupa dari tingkat pertama ke tingkat teratas di Candi Borobudur. Perubahan ini dapat dilihat dari variasi tipe stupa yang terletak di tingkatan yang berbeda-beda.",Arsitektur,"{'bleu': 0.06482459996972079, 'precisions': [0.8181818181818182, 0.5625, 0.4838709677419355, 0.43333333333333335], 'brevity_penalty': 0.1163078002632681, 'length_ratio': 0.3173076923076923, 'translation_length': 33, 'reference_length': 104}","{'rouge1': 0.3720930232558139, 'rouge2': 0.26771653543307083, 'rougeL': 0.34108527131782945, 'rougeLsum': 0.34108527131782945}",0.7012405395507812
35,"""Bagaimana bentuk bangunan Candi Borobudur?""","Candi Borobudur memiliki bentuk yang unik, terdiri dari tiga bagian: kepala, tubuh, dan kaki. Struktur ini memiliki makna yang berbeda-beda terkait dengan konsep Buddhis dan menyajikan berbagai konsep agama, moral, budaya, dan matematika.",Arsitektur,"{'bleu': 0.31286911900957376, 'precisions': [0.42857142857142855, 0.3170731707317073, 0.275, 0.2564102564102564], 'brevity_penalty': 1.0, 'length_ratio': 1.6153846153846154, 'translation_length': 42, 'reference_length': 26}","{'rouge1': 0.48148148148148157, 'rouge2': 0.3076923076923077, 'rougeL': 0.4074074074074075, 'rougeLsum': 0.4074074074074075}",0.7846670150756836
36,"""Apa yang dapat diidentifikasi dari pola penempatan Stupa yang berulang di Candi Borobudur?""","Dari pola penempatan stupa yang berulang di Candi Borobudur, dapat diidentifikasi bahwa terdapat empat macam stupa pada candi.",Arsitektur,"{'bleu': 0.27445648251820026, 'precisions': [1.0, 0.9473684210526315, 0.9444444444444444, 0.9411764705882353], 'brevity_penalty': 0.2865047968601901, 'length_ratio': 0.4444444444444444, 'translation_length': 20, 'reference_length': 45}","{'rouge1': 0.6545454545454547, 'rouge2': 0.6415094339622641, 'rougeL': 0.6545454545454547, 'rougeLsum': 0.6545454545454547}",0.5687930583953857
